,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
333,"http://www.1010jiajiao.com/daan/chapter_2821481.html?appinstall=0","198","129","49","37.98%","135","1,227","37.88%"," 00:04:07","6.2",
334,"http://www.1010jiajiao.com/daan/bookid_158265.html","198","126","49","38.89%","129","1,315","34.85%"," 00:06:09","6.64",
335,"http://www.1010jiajiao.com/daan/bookid_29990.html","197","148","51","34.46%","148","1,007","38.58%"," 00:03:11","5.11",
336,"http://www.1010jiajiao.com/daan/bookid_204488.html","197","152","52","34.21%","150","2,420","17.26%"," 00:09:11","12.28",
337,"http://www.1010jiajiao.com/daan/bookid_161779.html","197","97","43","44.33%","99","960","49.75%"," 00:02:13","4.87",
338,"http://www.1010jiajiao.com/daan/bookid_34050.html","197","148","53","35.81%","150","1,588","16.24%"," 00:05:31","8.06",
339,"http://www.1010jiajiao.com/daan/bookid_169.html","196","155","61","39.35%","153","1,090","43.37%"," 00:04:07","5.56",
340,"http://www.1010jiajiao.com/daan/chapter_568765.html?fromuid=2781854","196","129","59","45.74%","131","1,173","51.02%"," 00:02:26","5.98",
341,"http://www.1010jiajiao.com/daan/chapter_2957286.html","196","123","53","43.09%","127","1,069","30.1%"," 00:04:16","5.45",
342,"http://www.1010jiajiao.com/daan/bookid_154698.html","195","141","43","30.5%","137","1,725","24.1%"," 00:04:18","8.85",
343,"http://www.1010jiajiao.com/daan/chapter_1592573.html","195","137","51","37.23%","141","431","61.03%"," 00:02:14","2.21",
344,"http://www.1010jiajiao.com/daan/bookid_125662.html","195","130","44","33.85%","134","1,742","29.23%"," 00:04:42","8.93",
345,"http://www.1010jiajiao.com/daan/chapter_2714273.html?mType=Group","195","136","38","27.94%","137","836","30.26%"," 00:04:17","4.29",
346,"http://www.1010jiajiao.com/daan/bookid_212593.html","194","135","46","34.07%","137","2,583","42.27%"," 00:03:13","13.31",
