,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
69,"http://www.1010jiajiao.com/qx_portal/doc/787842.html","39","31","29","93.55%","31","43","89.19%"," 00:04:30","1.1",
70,"http://www.1010jiajiao.com/qx_portal/doc/682691.html","39","31","27","87.1%","30","41","94.74%"," 00:01:45","1.05",
71,"http://www.1010jiajiao.com/qx_portal/doc/875830.html","39","39","35","89.74%","38","43","88.24%"," 00:05:54","1.1",
72,"http://www.1010jiajiao.com/qx_portal/doc/422961.html","38","28","25","89.29%","28","42","91.67%"," 00:03:39","1.11",
73,"http://www.1010jiajiao.com/qx_portal/doc/782581.html","38","31","23","74.19%","31","41","91.89%"," 00:04:08","1.08",
74,"http://www.1010jiajiao.com/qx_portal/doc/806837.html","38","35","28","80%","35","46","88.89%"," 00:03:07","1.21",
75,"http://www.1010jiajiao.com/qx_portal/doc/616620.html","36","31","24","77.42%","31","43","91.18%"," 00:02:11","1.19",
76,"http://www.1010jiajiao.com/qx_portal/doc/641561.html","36","33","31","93.94%","33","36","100%"," 00:02:36","1",
77,"http://www.1010jiajiao.com/qx_portal/doc/795518.html","36","34","25","73.53%","34","53","85.71%"," 00:03:41","1.47",
78,"http://www.1010jiajiao.com/qx_portal/doc/874985.html","36","25","22","88%","25","46","84.38%"," 00:04:32","1.28",
79,"http://www.1010jiajiao.com/qx_portal/doc/675891.html","35","31","26","83.87%","32","35","100%"," 00:04:15","1",
80,"http://www.1010jiajiao.com/qx_portal/doc/679532.html","34","31","29","93.55%","31","34","100%"," 00:02:11","1",
81,"http://www.1010jiajiao.com/qx_portal/doc/78598.html","34","30","21","70%","28","35","96.88%"," 00:01:46","1.03",
82,"http://www.1010jiajiao.com/qx_portal/doc/868936.html","34","34","30","88.24%","33","37","90.91%"," 00:04:53","1.09",
83,"http://www.1010jiajiao.com/qx_portal/doc/66738.html","33","31","22","70.97%","31","33","100%"," 00:02:13","1",
84,"http://www.1010jiajiao.com/qx_portal/doc/92517.html","33","32","29","90.63%","32","35","93.33%"," 00:03:21","1.06",
85,"http://www.1010jiajiao.com/qx_portal/doc/720544.html","33","27","22","81.48%","27","35","93.55%"," 00:02:12","1.06",
86,"http://www.1010jiajiao.com/qx_portal/doc/620593.html","32","24","20","83.33%","23","38","89.29%"," 00:01:47","1.19",
87,"http://www.1010jiajiao.com/qx_portal/doc/461194.html","32","28","24","85.71%","29","32","100%"," 00:02:39","1",
88,"http://www.1010jiajiao.com/qx_portal/doc/638848.html","31","29","21","72.41%","29","39","77.78%"," 00:03:32","1.26",
89,"http://www.1010jiajiao.com/qx_portal/doc/756165.html","30","29","24","82.76%","30","32","96.67%"," 00:03:05","1.07",
90,"http://www.1010jiajiao.com/qx_portal/doc/788696.html","30","25","24","96%","26","31","96.55%"," 00:04:17","1.03",
91,"http://www.1010jiajiao.com/qx_portal/doc/735697.html","30","30","24","80%","30","30","100%"," 00:00:56","1",
92,"http://www.1010jiajiao.com/qx_portal/doc/864765.html","30","24","14","58.33%","24","32","92.86%"," 00:03:43","1.07",
93,"http://www.1010jiajiao.com/qx_portal/doc/875259.html","30","28","23","82.14%","28","48","96.43%"," 00:03:35","1.6",
94,"http://www.1010jiajiao.com/qx_portal/doc/874676.html","29","27","21","77.78%","27","35","88.89%"," 00:02:06","1.21",
95,"http://www.1010jiajiao.com/qx_portal/doc/188392.html","29","20","7","35%","20","31","96.55%"," 00:01:15","1.07",
96,"http://www.1010jiajiao.com/qx_portal/doc/794780.html","29","22","21","95.45%","21","30","96.55%"," 00:02:00","1.03",
97,"http://www.1010jiajiao.com/qx_portal/doc/809297.html","29","26","17","65.38%","26","31","93.1%"," 00:02:36","1.07",
98,"http://www.1010jiajiao.com/qx_portal/doc/760311.html","28","24","17","70.83%","24","29","96.43%"," 00:02:21","1.04",
99,"http://www.1010jiajiao.com/qx_portal/doc/655139.html","28","28","23","82.14%","28","35","88.46%"," 00:05:01","1.25",
100,"http://www.1010jiajiao.com/qx_portal/doc/760381.html","28","27","25","92.59%","27","28","100%"," 00:02:26","1",
101,"http://www.1010jiajiao.com/qx_portal/doc/17520.html","28","22","16","72.73%","23","32","88.46%"," 00:03:13","1.14",
102,"http://www.1010jiajiao.com/qx_portal/doc/788517.html","27","21","19","90.48%","22","31","87.5%"," 00:02:08","1.15",
103,"http://www.1010jiajiao.com/qx_portal/doc/744949.html","27","24","24","100%","24","32","85.19%"," 00:05:53","1.19",
104,"http://www.1010jiajiao.com/qx_portal/doc/684229.html","27","26","15","57.69%","26","29","92.59%"," 00:02:16","1.07",
105,"http://www.1010jiajiao.com/qx_portal/doc/682267.html","27","23","16","69.57%","23","27","100%"," 00:02:00","1",
106,"http://www.1010jiajiao.com/qx_portal/doc/37880.html","27","27","22","81.48%","27","29","96%"," 00:02:02","1.07",
107,"http://www.1010jiajiao.com/qx_portal/doc/780410.html","26","26","17","65.38%","26","30","88%"," 00:01:31","1.15",
108,"http://www.1010jiajiao.com/qx_portal/doc/723435.html","26","25","17","68%","25","27","95.83%"," 00:01:28","1.04",
109,"http://www.1010jiajiao.com/qx_portal/doc/159995.html","26","24","22","91.67%","24","26","100%"," 00:03:02","1",
110,"http://www.1010jiajiao.com/qx_portal/doc/880160.html","26","25","18","72%","25","26","100%"," 00:02:09","1",
111,"http://www.1010jiajiao.com/qx_portal/doc/866320.html","25","25","21","84%","24","27","95.83%"," 00:02:15","1.08",
112,"http://www.1010jiajiao.com/qx_portal/doc/188649.html","25","22","18","81.82%","21","26","95.65%"," 00:01:43","1.04",
113,"http://www.1010jiajiao.com/qx_portal/doc/680448.html","25","22","20","90.91%","22","28","87.5%"," 00:02:55","1.12",
114,"http://www.1010jiajiao.com/qx_portal/doc/675667.html","25","22","17","77.27%","22","26","95.65%"," 00:01:54","1.04",
115,"http://www.1010jiajiao.com/qx_portal/doc/748826.html","25","22","22","100%","22","25","100%"," 00:02:30","1",
116,"http://www.1010jiajiao.com/qx_portal/doc/594967.html","25","24","22","91.67%","24","26","96%"," 00:02:05","1.04",
117,"http://www.1010jiajiao.com/qx_portal/doc/680071.html","24","20","17","85%","20","24","100%"," 00:01:56","1",
118,"http://www.1010jiajiao.com/qx_portal/doc/589268.html","24","22","18","81.82%","21","25","95.83%"," 00:02:05","1.04",
119,"http://www.1010jiajiao.com/qx_portal/doc/756326.html","24","22","19","86.36%","23","25","95.83%"," 00:01:26","1.04",
120,"http://www.1010jiajiao.com/qx_portal/doc/52524.html","24","21","18","85.71%","21","24","100%"," 00:03:00","1",
121,"http://www.1010jiajiao.com/qx_portal/doc/901613.html","23","19","14","73.68%","19","27","90%"," 00:01:21","1.17",
122,"http://www.1010jiajiao.com/qx_portal/doc/780395.html","23","23","19","82.61%","23","24","95%"," 00:04:08","1.04",
123,"http://www.1010jiajiao.com/qx_portal/doc/42396.html","23","22","20","90.91%","22","30","90.91%"," 00:03:05","1.3",
124,"http://www.1010jiajiao.com/qx_portal/doc/790918.html","23","21","20","95.24%","21","27","95.24%"," 00:03:55","1.17",
125,"http://www.1010jiajiao.com/qx_portal/doc/869358.html","23","21","15","71.43%","21","25","95.65%"," 00:01:51","1.09",
126,"http://www.1010jiajiao.com/qx_portal/doc/589839.html","22","22","20","90.91%","22","23","95.24%"," 00:02:29","1.05",
127,"http://www.1010jiajiao.com/qx_portal/doc/297623.html","22","20","19","95%","20","23","100%"," 00:05:06","1.05",
128,"http://www.1010jiajiao.com/qx_portal/doc/793135.html","22","19","17","89.47%","19","25","85.71%"," 00:03:17","1.14",
129,"http://www.1010jiajiao.com/qx_portal/doc/879630.html","22","18","13","72.22%","18","24","90%"," 00:02:21","1.09",
130,"http://www.1010jiajiao.com/qx_portal/doc/685171.html","22","18","18","100%","18","22","100%"," 00:02:17","1",
131,"http://www.1010jiajiao.com/qx_portal/doc/537167.html","22","22","21","95.45%","22","22","100%"," 00:04:44","1",
132,"http://www.1010jiajiao.com/qx_portal/doc/607042.html","22","22","20","90.91%","22","24","90.91%"," 00:08:11","1.09",
133,"http://www.1010jiajiao.com/qx_portal/doc/319133.html","22","20","16","80%","20","23","95%"," 00:01:54","1.05",
134,"http://www.1010jiajiao.com/qx_portal/doc/63580.html","22","19","13","68.42%","19","24","95%"," 00:01:43","1.09",
135,"http://www.1010jiajiao.com/qx_portal/doc/675819.html","22","18","11","61.11%","19","24","95%"," 00:02:50","1.09",
136,"http://www.1010jiajiao.com/qx_portal/doc/479531.html","22","19","15","78.95%","19","22","100%"," 00:02:05","1",
137,"http://www.1010jiajiao.com/qx_portal/doc/766289.html","22","20","9","45%","21","24","95%"," 00:01:56","1.09",
138,"http://www.1010jiajiao.com/qx_portal/doc/756264.html","21","20","18","90%","20","25","80.95%"," 00:02:46","1.19",
139,"http://www.1010jiajiao.com/qx_portal/doc/72999.html","21","19","19","100%","19","24","89.47%"," 00:03:39","1.14",
140,"http://www.1010jiajiao.com/qx_portal/doc/900911.html","21","19","17","89.47%","19","21","100%"," 00:01:55","1",
141,"http://www.1010jiajiao.com/qx_portal/doc/141998.html","21","21","20","95.24%","21","24","89.47%"," 00:01:36","1.14",
142,"http://www.1010jiajiao.com/qx_portal/doc/869624.html","21","20","13","65%","20","25","83.33%"," 00:01:46","1.19",
143,"http://www.1010jiajiao.com/qx_portal/doc/17567.html","21","19","16","84.21%","19","22","94.12%"," 00:01:49","1.05",
144,"http://www.1010jiajiao.com/qx_portal/doc/431063.html","21","15","15","100%","15","23","90.48%"," 00:02:23","1.1",
145,"http://www.1010jiajiao.com/qx_portal/doc/879091.html","20","19","14","73.68%","19","23","90%"," 00:01:36","1.15",
146,"http://www.1010jiajiao.com/qx_portal/doc/671976.html","20","18","15","83.33%","18","20","100%"," 00:04:54","1",
147,"http://www.1010jiajiao.com/qx_portal/doc/4259.html","20","17","8","47.06%","17","21","100%"," 00:01:54","1.05",
148,"http://www.1010jiajiao.com/qx_portal/doc/972613.html","20","20","16","80%","20","25","84.21%"," 00:04:13","1.25",
149,"http://www.1010jiajiao.com/qx_portal/doc/634936.html","19","16","11","68.75%","16","25","78.95%"," 00:03:56","1.32",
150,"http://www.1010jiajiao.com/qx_portal/doc/603509.html","19","19","16","84.21%","19","20","94.44%"," 00:02:07","1.05",
